nome-jogador,posicao-g-f-fc-cf-c,altura-cm,peso-kg,idade,jogos-disputados,minutos,arremessos-convertidos,arremessos-tentados,triplos-convertidos,triplos-tentados,lances-livres-convertidos,lances-livres-tentados,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,faltas,pontos,porcentagem-arremessos,porcentagem-triplos,porcentagem-lances-livres,eficiencia-simples
Max Christie,1,195.6,86.2,22.0,39,1176.68,152,355,73,188,66,78,13,139,152,97,57,30,12,52,443,42.816901408450704,38.82978723404255,84.61538461538461,1.2478873239436619
Danté Exum,1,195.6,97.1,29.0,20,372.31,64,134,23,53,23,31,4,29,33,56,22,12,3,34,174,47.76119402985074,43.39622641509434,74.19354838709677,1.2985074626865671
Jaden Hardy,1,190.5,89.8,22.0,63,965.6233333333334,189,438,82,211,64,91,9,85,94,83,84,30,5,96,524,43.15068493150685,38.862559241706165,70.32967032967034,1.1963470319634704
Dereck Lively II,5,215.9,104.3,21.0,39,883.345,141,200,0,0,48,77,108,177,285,94,46,22,60,109,330,70.5,0.0,62.33766233766234,1.65
Anthony Davis,3,208.3,114.8,32.0,14,415.34833333333336,109,227,10,41,56,79,32,110,142,51,31,13,26,29,284,48.01762114537445,24.390243902439025,70.88607594936708,1.251101321585903
Dwight Powell,3,208.3,108.9,33.0,61,616.4033333333333,47,69,2,5,43,60,52,80,132,59,23,20,23,89,139,68.11594202898551,40.0,71.66666666666667,2.0144927536231885
Olivier-Maxence Prosper,2,200.7,104.3,22.0,52,584.07,70,174,12,51,49,76,44,82,126,40,14,26,6,28,201,40.229885057471265,23.52941176470588,64.47368421052632,1.1551724137931034
Brandon Williams,1,185.4,86.2,25.0,38,549.2083333333334,111,214,25,67,62,78,13,53,66,81,47,29,6,40,309,51.86915887850467,37.3134328358209,79.48717948717949,1.4439252336448598
Kyrie Irving,1,188.0,88.5,33.0,50,1803.7966666666664,447,945,144,359,196,214,60,180,240,231,111,66,23,101,1234,47.3015873015873,40.11142061281337,91.58878504672897,1.3058201058201058
Naji Marshall,2,198.1,99.8,27.0,76,2076.005,377,747,62,227,148,180,79,271,350,220,118,77,11,125,964,50.46854082998661,27.312775330396477,82.22222222222221,1.2904953145917002
Caleb Martin,2,195.6,93.0,29.0,20,325.27,32,84,5,20,18,28,13,35,48,30,16,15,3,34,87,38.095238095238095,25.0,64.28571428571429,1.0357142857142858
Kessler Edwards,2,200.7,92.1,24.0,40,608.46,67,135,22,54,12,13,22,93,115,42,16,19,20,62,168,49.629629629629626,40.74074074074074,92.3076923076923,1.2444444444444445
Daniel Gafford,3,208.3,120.2,26.0,59,1257.395,288,410,0,0,138,199,158,237,395,84,66,24,104,157,714,70.24390243902438,0.0,69.34673366834171,1.7414634146341463
Kai Jones,4,210.8,100.2,24.0,12,260.3883333333333,61,73,1,3,14,20,25,54,79,15,8,9,10,27,137,83.56164383561644,33.33333333333333,70.0,1.8767123287671232
P.J. Washington,2,198.1,104.3,26.0,64,2062.348333333333,341,750,99,265,159,225,89,408,497,150,137,69,68,149,940,45.46666666666667,37.35849056603773,70.66666666666667,1.2533333333333334
Spencer Dinwiddie,1,195.6,97.5,32.0,79,2136.085,284,682,109,326,195,243,18,191,209,349,102,70,17,121,872,41.64222873900293,33.43558282208589,80.24691358024691,1.278592375366569
Klay Thompson,1,195.6,99.8,35.0,79,2103.033333333333,382,941,227,593,71,78,46,221,267,156,96,51,33,86,1062,40.59511158342189,38.27993254637437,91.02564102564102,1.128586609989373
D'Angelo Russell,1,190.5,87.5,29.0,7,151.49666666666667,28,74,11,37,20,28,3,19,22,39,13,4,1,10,87,37.83783783783784,29.72972972972973,71.42857142857143,1.1756756756756757
Ryan Nembhard,1,180.3,81.6,22.0,3,27.45,4,9,0,2,2,2,1,0,1,5,5,0,0,2,10,44.44444444444444,0.0,100.0,1.1111111111111112
Miles Kelly,1,193.0,86.2,22.0,1,2.183333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,
Moussa Cisse,5,210.8,99.8,23.0,3,17.341666666666665,2,4,0,0,0,0,2,0,2,0,2,1,1,3,4,50.0,0.0,0.0,1.0
Cooper Flagg,2,205.7,93.0,18.0,7,219.09166666666667,33,83,8,24,21,21,6,36,42,20,13,6,3,19,95,39.75903614457831,33.33333333333333,100.0,1.144578313253012
