id-jogador,nome-jogador,apelido,id-time,sigla-time,idade,jogos-disputados,vitorias,derrotas,porcentagem-vitorias,minutos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,arremessos-bloqueados-contra,faltas,faltas-sofridas,pontos,saldo-pontos,pontos-fantasia-nba,duplos-duplos,triplos-duplos,pontos-fantasia-wnba,ranking-jogos-disputados,ranking-vitorias,ranking-derrotas,ranking-porcentagem-vitorias,ranking-minutos,ranking-arremessos-convertidos,ranking-arremessos-tentados,ranking-porcentagem-arremessos,ranking-triplos-convertidos,ranking-triplos-tentados,ranking-porcentagem-triplos,ranking-lances-livres-convertidos,ranking-lances-livres-tentados,ranking-porcentagem-lances-livres,ranking-rebotes-ofensivos,ranking-rebotes-defensivos,ranking-rebotes-totais,ranking-assistencias,ranking-erros,ranking-roubos,ranking-tocos,ranking-arremessos-bloqueados-contra,ranking-faltas,ranking-faltas-sofridas,ranking-pontos,ranking-saldo-pontos,ranking-pontos-fantasia-nba,ranking-duplos-duplos,ranking-triplos-duplos,ranking-pontos-fantasia-wnba,quantidade-times
202681,Kyrie Irving,Kyrie,1610612742,DAL,33.0,50,28,22,0.56,36.1,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916,1.2,3.6,4.8,4.6,2.2,1.3,0.5,0.8,2.0,3.3,24.7,2.5,40.5,0,0,40.5,9,6,10,5,1,2,2,11,3,3,3,2,3,2,7,10,8,2,3,2,9,2,7,3,2,3,3,12,3,3,1
1631108,Max Christie,Max,1610612742,DAL,22.0,32,13,19,0.406,30.4,3.9,9.4,0.411,1.7,4.7,0.364,1.8,2.0,0.862,0.4,3.8,4.2,2.5,1.5,0.9,0.3,0.7,1.3,1.6,11.2,-2.1,22.2,0,0,22.1,15,15,12,21,4,10,7,19,4,4,10,8,8,4,18,8,10,7,6,6,13,5,18,9,10,19,12,12,3,11,1
1629650,Moses Brown,Moses,1610612742,DAL,25.0,4,2,2,0.5,18.2,5.3,7.3,0.724,0.0,0.0,0.0,1.3,1.5,0.833,2.0,5.8,7.8,0.5,1.3,1.0,0.8,0.8,2.8,1.3,11.8,-0.8,25.8,1,0,23.5,24,24,23,11,16,5,11,3,21,21,21,12,16,5,4,4,4,22,10,5,6,3,2,15,8,12,7,8,3,8,1
1630230,Naji Marshall,Naji,1610612742,DAL,27.0,69,32,37,0.464,27.8,5.2,10.3,0.508,0.9,3.2,0.275,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.6,1.0,0.2,0.5,1.6,1.7,13.2,-2.0,25.4,6,0,24.2,3,3,3,15,6,6,6,8,10,10,15,7,7,7,8,9,9,5,5,4,18,9,13,8,6,17,8,5,3,7,1
1641765,Olivier-Maxence Prosper,Olivier-Maxence,1610612742,DAL,22.0,52,27,25,0.519,11.2,1.3,3.3,0.402,0.2,1.0,0.235,0.9,1.5,0.645,0.8,1.6,2.4,0.8,0.3,0.5,0.1,0.3,0.5,1.0,3.9,-2.0,9.5,0,0,8.5,8,8,8,10,20,19,19,20,18,17,18,17,17,20,11,18,18,20,23,16,22,13,23,17,19,18,20,12,3,20,1
1629023,P.J. Washington,P.J.,1610612742,DAL,26.0,57,31,26,0.544,32.2,5.3,11.7,0.453,1.6,4.2,0.381,2.5,3.5,0.722,1.4,6.3,7.8,2.3,2.1,1.1,1.1,0.9,2.3,2.8,14.7,0.9,31.8,14,0,30.6,4,4,7,6,3,4,5,15,6,6,9,4,4,13,6,3,3,10,4,3,4,1,5,4,4,4,4,1,3,4,1
203915,Spencer Dinwiddie,Spencer,1610612742,DAL,32.0,79,37,42,0.468,27.0,3.6,8.6,0.416,1.4,4.1,0.334,2.5,3.1,0.802,0.2,2.4,2.6,4.4,1.3,0.9,0.2,0.3,1.5,2.5,11.0,-2.8,22.9,5,0,21.7,1,1,1,14,8,13,8,17,7,7,13,5,6,8,20,13,16,4,9,7,15,15,16,6,11,22,11,6,3,12,1
203076,Anthony Davis,Anthony,1610612742,DAL,32.0,5,2,3,0.4,29.9,7.8,15.0,0.52,0.6,2.2,0.273,4.6,6.2,0.742,3.4,6.8,10.2,2.2,2.2,1.6,1.2,0.6,2.6,5.8,20.8,-5.4,42.5,4,0,39.4,10,1,11,2,3,1,1,5,7,7,7,1,1,10,1,2,1,6,2,1,2,3,3,1,1,10,1,1,1,1,1
1630314,Brandon Williams,Brandon,1610612742,DAL,25.0,5,1,4,0.2,12.4,2.6,5.2,0.5,0.2,1.4,0.143,1.4,2.4,0.583,0.2,1.4,1.6,1.0,1.6,1.0,0.2,0.2,1.4,2.0,6.8,-1.8,12.2,0,0,12.0,10,11,7,14,10,7,7,6,9,8,10,9,7,13,13,11,11,11,7,2,10,14,11,6,8,7,10,5,1,10,1
1628997,Caleb Martin,Caleb,1610612742,DAL,30.0,6,2,4,0.333,8.4,0.7,2.0,0.333,0.2,0.7,0.25,0.5,0.7,0.75,0.5,0.7,1.2,0.7,0.5,0.5,0.0,0.3,1.7,0.3,2.0,-1.8,5.4,0,0,5.0,7,1,7,3,14,14,13,14,10,10,8,14,12,9,8,13,12,12,14,8,12,7,8,13,14,8,13,5,1,14,1
