id-jogador,jogos-disputados,minutos,arremessos-convertidos,arremessos-tentados,porcentagem-arremessos,triplos-convertidos,triplos-tentados,porcentagem-triplos,lances-livres-convertidos,lances-livres-tentados,porcentagem-lances-livres,rebotes-ofensivos,rebotes-defensivos,rebotes-totais,assistencias,erros,roubos,tocos,faltas,pontos
203076,9,29.6,7.8,16.9,0.461,0.8,3.3,0.233,3.7,5.3,0.688,1.7,8.4,10.1,4.4,2.2,0.6,2.2,1.8,20.0
1630314,33,14.8,3.0,5.7,0.521,0.7,1.8,0.4,1.7,2.0,0.833,0.4,1.4,1.8,2.3,1.2,0.7,0.2,1.0,8.3
1628997,14,19.6,2.0,5.1,0.389,0.3,1.1,0.25,1.1,1.7,0.625,0.7,2.2,2.9,1.9,0.9,0.9,0.2,1.7,5.4
1629655,57,21.5,5.0,7.1,0.702,0.0,0.0,0.0,2.4,3.4,0.689,2.7,4.1,6.8,1.4,1.2,0.4,1.8,2.7,12.3
203957,20,18.6,3.2,6.7,0.478,1.2,2.7,0.434,1.2,1.6,0.742,0.2,1.5,1.7,2.8,1.1,0.6,0.2,1.7,8.7
1641726,36,23.1,3.7,5.3,0.702,0.0,0.0,0.0,1.3,2.0,0.63,2.9,4.6,7.5,2.4,1.1,0.6,1.6,2.8,8.7
203939,55,10.0,0.8,1.1,0.689,0.0,0.1,0.4,0.5,0.8,0.651,0.9,1.3,2.1,1.0,0.3,0.3,0.4,1.4,2.1
1630702,57,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.1,1.5,0.698,0.2,1.4,1.6,1.4,1.4,0.5,0.1,1.6,8.7
1641789,16,3.5,0.6,1.4,0.391,0.3,0.7,0.364,0.1,0.3,0.5,0.1,0.3,0.3,0.4,0.3,0.1,0.1,0.6,1.5
1630539,12,21.7,5.1,6.1,0.836,0.1,0.3,0.333,1.2,1.7,0.7,2.1,4.5,6.6,1.3,0.7,0.8,0.8,2.3,11.4
1630556,40,15.2,1.7,3.4,0.496,0.6,1.4,0.407,0.3,0.3,0.923,0.6,2.3,2.9,1.1,0.4,0.5,0.5,1.6,4.2
202691,72,27.3,5.0,12.2,0.412,3.0,7.7,0.391,0.9,1.0,0.905,0.6,2.8,3.4,2.0,1.2,0.7,0.4,1.1,14.0
202681,50,36.1,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2.0,24.7
1631108,32,30.4,3.9,9.4,0.411,1.7,4.7,0.364,1.8,2.0,0.862,0.4,3.8,4.2,2.5,1.5,0.9,0.3,1.3,11.2
1629650,4,18.2,5.3,7.3,0.724,0.0,0.0,0.0,1.3,1.5,0.833,2.0,5.8,7.8,0.5,1.3,1.0,0.8,2.8,11.8
1630230,69,27.8,5.2,10.3,0.508,0.9,3.2,0.275,1.9,2.3,0.813,1.1,3.7,4.8,3.0,1.6,1.0,0.2,1.6,13.2
1641765,52,11.2,1.3,3.3,0.402,0.2,1.0,0.235,0.9,1.5,0.645,0.8,1.6,2.4,0.8,0.3,0.5,0.1,0.5,3.9
1629023,57,32.2,5.3,11.7,0.453,1.6,4.2,0.381,2.5,3.5,0.722,1.4,6.3,7.8,2.3,2.1,1.1,1.1,2.3,14.7
203915,79,27.0,3.6,8.6,0.416,1.4,4.1,0.334,2.5,3.1,0.802,0.2,2.4,2.6,4.4,1.3,0.9,0.2,1.5,11.0
